skillId,skill,user,location,email
0,1,2,4,3
1,курити план,Алекс,Kyiv,junkiewind@gmail.com
2,курити план,Алекс,Kyiv,junkiewind@gmail.com
3,топтати кур,Алекс,Kyiv,junkiewind@gmail.com
4,пірнати під лід,Алекс,Kyiv,junkiewind@gmail.com
5,курить,Валера,Kyiv,junkiewind@gmail.com
6,нірять,Валера,Kyiv,junkiewind@gmail.com
7,курить,Валера,Kyiv,junkiewind@gmail.com
8,нірять,Валера,Kyiv,junkiewind@gmail.com
9,курить,Валера,Kyiv,junkiewind@gmail.com
10,нірять,Валера,Kyiv,junkiewind@gmail.com
11,курить,Валера,Kyiv,junkiewind@gmail.com
12,нірять,Валера,Kyiv,junkiewind@gmail.com
13,курить,Валера,Kyiv,junkiewind@gmail.com
14,нірять,Валера,Kyiv,junkiewind@gmail.com
15,супра,Валера,Kyiv,junkiewind@gmail.com
16,супра,Валера,Kyiv,junkiewind@gmail.com
17,супра,Валера,Kyiv,junkiewind@gmail.com
18,супра,Валера,Kyiv,junkiewind@gmail.com
19,супра,Валера,Kyiv,junkiewind@gmail.com
20,супра,Валера,Kyiv,junkiewind@gmail.com
